Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Size,Genres,Original Release Date
TowerMadness,4.0,42389.0,2.99,"1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99",Limbic Software,9+,56048640.0,"Games, Strategy, Puzzle",24/05/2009
Chinese Chess Master,3.5,207.0,3.99,,PPCLINK Software,4+,23740416.0,"Games, Entertainment, Strategy, Board",23/05/2009
Block Off,3.0,16554.0,0.0,0.99,Elements of Design LLC,4+,6338617.0,"Games, Puzzle, Strategy, Entertainment",25/05/2009
UAV Fighter Free,3.0,6906.0,0.0,,"Entertaining Games, Inc.",12+,12120793.0,"Games, Strategy, Simulation, Entertainment",5/06/2009
WORP - Next Gen Solitaire Puzzle,3.0,9.0,1.99,,Maximilian Auer,4+,20501504.0,"Games, Board, Entertainment, Strategy",7/06/2009
Bubble Buster,3.5,2110.0,0.0,"1.99, 9.99, 0.99, 9.99, 2.99, 0.99, 19.99, 0.99, 0.99, 9.99",North Sky Games,4+,76698624.0,"Games, Board, Strategy, Entertainment",11/07/2009
Age of Conquest: Europe,3.5,267.0,3.99,,Noble Master LLC,12+,39074816.0,"Entertainment, Games, Board, Strategy",16/06/2009
Backgammon!,2.0,704.0,0.0,,osnine,4+,413902.0,"Games, Entertainment, Strategy, Board",11/06/2009
Crush the Castle,3.5,23854.0,0.99,,Armor Games Inc,12+,44707840.0,"Games, Adventure, Strategy",18/09/2009
PopGroup,3.0,847.0,0.99,,Tom Kerrigan,4+,995328.0,"Games, Board, Strategy, Entertainment",18/06/2009
PopGroup Lite,3.0,233.0,0.0,,Tom Kerrigan,4+,761856.0,"Games, Entertainment, Board, Strategy",16/09/2009
TapSquares,3.0,5.0,0.99,,Bubble Pop Software,4+,2137088.0,"Games, Strategy, Entertainment, Puzzle",10/06/2009
Chess,4.5,14864.0,0.0,"1.99, 7.99, 29.99, 19.99",Vintolo Ltd,4+,47129600.0,"Games, Strategy, Board, Entertainment",13/06/2009
TOTL,2.5,43.0,0.0,,Robert Urschel,4+,41591808.0,"Games, Entertainment, Strategy, Puzzle",14/06/2009
Tic-Tac-Toe Arena,1.5,8.0,1.99,,RookSoft Ltd.,4+,82583552.0,"Games, Entertainment, Strategy, Board",24/06/2009
4_IN_1_ROW_Lite,2.5,3593.0,0.0,,"AOBO Co.,Ltd",4+,7750656.0,"Games, Board, Strategy, Entertainment",28/06/2009
Tournament Checkers Free,3.0,344.0,0.0,,Futrell Software,4+,4578541.0,"Games, Entertainment, Strategy, Board",2/07/2009
Checkers,4.5,36581.0,0.0,,Vintolo Ltd,4+,69393408.0,"Games, Entertainment, Board, Strategy",4/07/2009
Checkers,4.5,36581.0,0.0,,Vintolo Ltd,4+,69393408.0,"Games, Entertainment, Board, Strategy",4/07/2009
Pipe Mania,3.0,302.0,0.0,,Virtual Programming Ltd,4+,85569536.0,"Games, Strategy, Puzzle",8/07/2009
WORMS,4.0,5778.0,1.99,"0.99, 0.99",Team17 Software Ltd,12+,253834240.0,"Games, Action, Entertainment, Strategy",12/07/2009
Pixel Starships\u2122,4.5,27739.0,0.0,"4.99, 9.99, 3.99, 4.99, 3.99, 9.99, 19.99, 49.99, 99.99",Savy Soda,9+,104436736.0,"Games, Entertainment, Strategy, Role Playing",6/01/2016
PUSHY,4.0,163.0,1.99,0.99,medienwerkstatt,4+,83070976.0,"Games, Puzzle, Strategy, Education",11/07/2009
Traffic Rush,3.5,212763.0,0.99,,Donut Games,9+,9466880.0,"Games, Strategy, Action",12/07/2009
Traffic Control!,3.0,24.0,0.0,,Jon Davis,4+,4474837.0,"Games, Entertainment, Puzzle, Strategy",19/07/2009
Sudoku Infinite,3.5,166.0,0.0,,Ludovic Landry,4+,10318615.0,"Games, Strategy, Education, Casual",8/08/2009
Cartoon Wars,3.5,35905.0,0.99,"0.99, 5.99, 2.99",BLUE,12+,13216994.0,"Games, Role Playing, Strategy",25/07/2009
Hexxagon,2.5,268.0,0.99,,Aleksejs Voloviks,4+,5334016.0,"Games, Strategy, Board, Entertainment",23/07/2009
Big Deuce - Big 2 Classic,3.0,942.0,0.0,2.99,38 Softworks Inc.,4+,18093056.0,"Games, Strategy, Card, Entertainment",24/07/2009
Archmage Defense Lite,3.5,3135.0,0.0,,Nerv Technology,9+,9205022.0,"Games, Strategy, Action, Entertainment",30/07/2009
Orbital,4.0,1435.0,2.99,,bitforge Ltd,4+,22335488.0,"Games, Puzzle, Strategy, Entertainment",13/08/2009
Tic Tac Toe: World Challenge,3.0,680.0,0.0,,DigitalFun,4+,4481024.0,"Games, Entertainment, Board, Strategy",6/08/2009
Stock Wars - Virtual Investing,3.5,3015.0,0.0,1.99,Continuous Integration Inc.,4+,10139648.0,"Finance, Simulation, Games, Strategy",29/10/2009
Sudoku Deluxe\xae,4.5,688.0,0.0,"2.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99",Mobile Deluxe,4+,70557696.0,"Games, Travel, Strategy, Word",23/09/2009
Block Drop\xae,4.0,113.0,0.99,,"Freecloud Design, Inc.",4+,48675840.0,"Games, Strategy, Entertainment, Puzzle",6/08/2009
All American Girls Concentration Memory Game,2.0,291.0,0.99,,"No Tie, LLC",17+,9900032.0,"Games, Entertainment, Strategy, Board",18/09/2009
Phoenix Emperor 50 Marks,4.5,62.0,0.0,"19.99, 4.99, 9.99, 49.99, 99.99","Codxp, Inc",12+,22518784.0,"Games, Adventure, Strategy",21/08/2009
Cleopatra\xae,3.5,1054.0,0.0,,IGT,12+,5085584.0,"Games, Strategy, Entertainment, Casino",4/08/2009
Bored,3.5,9.0,0.0,"0.99, 0.99, 0.99",Patrick Q. Kelly,4+,16440320.0,"Games, Puzzle, Strategy, Entertainment",4/08/2009
Orient Express: The Train Simulator,3.0,657.0,0.0,0.99,AppMania,4+,25035776.0,"Games, Entertainment, Simulation, Strategy",11/08/2009
Icy Escort,3.0,47338.0,0.99,,Donut Games,4+,9214976.0,"Games, Family, Strategy",11/08/2009
Alice Greenfingers,3.5,1979.0,0.99,,Donut Games,4+,9659320.0,"Games, Strategy, Simulation, Entertainment",22/08/2009
Space Control,2.5,654.0,0.99,,Aleksejs Voloviks,4+,13483008.0,"Games, Entertainment, Strategy, Casual",24/08/2009
HIARCS Chess,4.0,213.0,9.99,,Applied Computer Concepts Ltd.,4+,22864896.0,"Games, Board, Education, Strategy",28/08/2009
Mobile Aquarium,3.0,15277.0,0.0,0.99,TLogic.de,4+,8482816.0,"Games, Simulation, Entertainment, Strategy",9/09/2009
PUSHY lite,3.5,776.0,0.0,,medienwerkstatt,4+,64505856.0,"Games, Education, Puzzle, Strategy",29/08/2009
Ancient War,3.5,5378.0,0.0,0.99,Triniti Interactive Limited,12+,15120306.0,"Games, Strategy, Entertainment, Action",19/09/2009
Backgammon NJ,4.0,2567.0,4.99,"4.99, 2.99, 2.99",Jimmy Hu,4+,21422080.0,"Games, Board, Entertainment, Strategy",1/09/2009
Pebble Command,2.5,29.0,0.0,,Pavlos Tsochantaris,4+,35214336.0,"Games, Entertainment, Strategy, Action",1/09/2009
Yahoo Fantasy Football & more,3.5,199585.0,0.0,,Yahoo,17+,145777664.0,"Sports, Games, Sports, Strategy",8/09/2009
Chess - Play & Learn,4.5,143719.0,0.0,"99.99, 6.99, 14.99, 29.99, 49.99, 4.99",Chess.com,4+,109671424.0,"Games, Strategy, Board, Entertainment",29/10/2009
DodgeDot,3.0,4289.0,0.0,,"Jampaq, Inc.",4+,24214528.0,"Games, Entertainment, Strategy, Casual",2/10/2009
Mummy: Tomb of the Lost Souls FREE,3.0,178.0,0.0,,Richard Nguyen,4+,11965728.0,"Games, Entertainment, Strategy, Puzzle",18/11/2009
Cannon Siege,3.0,694.0,0.0,,Chad Towns,12+,7587880.0,"Games, Casual, Strategy, Entertainment",28/09/2009
Slideswipe,5.0,6.0,0.99,,Plannerhead,4+,19798016.0,"Games, Education, Strategy",1/04/2010
Cows In Space,3.0,46861.0,0.99,,Donut Games,4+,8752128.0,"Games, Strategy, Family",16/09/2009
Fare City: Taxi Mania,3.5,1639.0,0.99,,Finkly Interactive,4+,35438592.0,"Games, Strategy, Family",17/09/2009
Cartoon Wars Lite,4.0,148144.0,0.0,,BLUE,12+,12429966.0,"Games, Adventure, Strategy",18/09/2009
Bloons TD,4.0,7950.0,2.99,,Ninja Kiwi,4+,8432232.0,"Games, Strategy, Casual",3/10/2009
IpickMega,,,0.99,,"Avruk, LLC",4+,1612800.0,"Entertainment, Casino, Games, Strategy",23/09/2009
Igowin Tutor,3.5,517.0,0.0,,Smart Games,4+,22585344.0,"Games, Strategy, Board",23/09/2009
MILLIONAIRE TYCOON\u2122,3.5,4049.0,0.99,"0.99, 0.99",Savy Soda,4+,49016832.0,"Games, Board, Business, Strategy",28/09/2009
Tic Tac Toe 3-in-a-row,3.0,345.0,0.0,"0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",Courtney & Company,4+,5614592.0,"Games, Board, Strategy, Entertainment",1/10/2009
Chain Rxn Free,3.5,7499.0,0.0,,Zwigglers Mobile,4+,1978912.0,"Games, Strategy",10/11/2009
Trump It,1.5,18.0,0.0,,Added Entertainment Ltd,4+,75976704.0,"Entertainment, Card, Games, Strategy",19/11/2009
Titanic Rescue,3.0,38008.0,0.99,,Donut Games,4+,7494656.0,"Games, Family, Strategy",7/10/2009
Ninja TD Lite,3.5,3650.0,0.0,,Crazy Carpenter,4+,16141677.0,"Games, Strategy, Action",9/10/2009
Naval Fight,2.5,1604.0,0.0,,Steve Tranby,4+,7075285.0,"Games, Board, Strategy, Entertainment",14/10/2009
MILLIONAIRE TYCOON\u2122 : Free Realestate Trading Strategy Board Game,3.0,17680.0,0.0,,Savy Soda,4+,52412416.0,"Games, Entertainment, Strategy, Board",24/11/2009
Chicken Chess,3.5,7.0,0.0,,Vaibhav Electronics Pvt Ltd,4+,9431040.0,"Games, Strategy, Board, Entertainment",30/10/2009
Earth Alliance: Earth Defense,,,0.0,0.99,Nebula Softworlds,9+,67878912.0,"Games, Entertainment, Strategy, Simulation",31/10/2009
Gypsy Cards,3.0,166.0,0.0,,Evermagica,9+,16702740.0,"Games, Entertainment, Card, Strategy",15/10/2009
Missile Pod Launcher,2.0,868.0,0.0,,Belprog Belprog,12+,15370240.0,"Entertainment, Games, Strategy, Casual",22/10/2009
Stone Wars,3.5,10785.0,0.0,1.99,EpicForce Entertainment Ltd.,12+,52757132.0,"Games, Action, Entertainment, Strategy",10/12/2009
Catan Classic,4.0,17440.0,4.99,"4.99, 9.99, 4.99, 1.99, 1.99",USM,4+,888494080.0,"Games, Board, Strategy, Entertainment",25/10/2009
Solve Sudoku FREE,2.5,234.0,0.0,,Procypher Software Co.,4+,1098368.0,"Games, Puzzle, Strategy",5/11/2009
TowerMadness Zero,4.0,95466.0,0.0,"1.99, 1.99, 1.99, 2.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99",Limbic Software,9+,58547200.0,"Games, Puzzle, Strategy",25/10/2009
Vikings\u2122 Free,2.5,295.0,0.0,,"Entertaining Games, Inc.",9+,5336201.0,"Games, Entertainment, Strategy, Role Playing",1/02/2010
Galaxy Trek,4.0,178.0,0.99,,George Dimidik,4+,9961472.0,"Games, Strategy, Role Playing",2/11/2009
King of Dragon Pass,5.0,960.0,9.99,,"A Sharp, LLC",12+,364954624.0,"Games, Entertainment, Strategy, Role Playing",14/02/2011
Bad Apples,3.0,3284.0,0.0,0.99,Metaversal Studios,4+,34713600.0,"Games, Puzzle, Strategy",18/01/2010
Sudoku Scrapbook,4.0,63.0,2.99,,Mighty Mighty Good Games,4+,27623424.0,"Games, Strategy, Puzzle",19/11/2009
Handgun FREE,2.0,849.0,0.0,,Belprog Belprog,17+,16375808.0,"Entertainment, Action, Strategy, Games",30/10/2009
Fare City: Taxi Mania FREE,3.5,532.0,0.0,,Finkly Interactive,4+,30134272.0,"Games, Strategy, Family",30/10/2009
Art Of War 2: Global Confederation,3.0,746.0,0.0,,Gear Games,9+,12349649.0,"Games, Strategy, Board",11/11/2009
